Group,length,Macrel,Macrel_probability,Out1,Out1 Prob,Out9,Out9 Prob,Vote2,Vote2 Prob,charge_pH7,charge_density,muH,KD_raw,KD_norm01,HelixProp,HRC_pct,SAI,Aromatic_frac,PG_frac,WWIHP_mean,Boman,Instability,pI,Hmoment,AIPx,Zsum,z_muH,z_charge_density,z_GRAVY,z_HelixProp,z_HRC,z_SAI,verdict,Macrel_AMP,AIPx_tier
P_A30K,17,AMP,0.584,AMP,0.528,AMP,0.634,AMP,0.572,0.09,0.0053,0.563,0.741,0.582,0.974,52.94,0.371,0.059,0.294,-0.064,-0.455,24.165,7.543,0.563,0.583,0.337,0.42,-1.45,2.56,-0.38,0.53,1.14,AMP-like,TRUE,Moderate
P_A30K,16,AMP,0.683,AMP,0.63,AMP,0.746,AMP,0.69,1.997,0.1248,0.514,0.65,0.572,0.876,43.75,0.217,0.125,0.312,-0.334,0.022,18.969,11.148,0.514,0.543,0.171,0.09,-0.25,2.2,-0.87,-0.08,0.11,AMP-like,TRUE,Weak
P_A30K,19,AMP,0.683,AMP,0.668,NonAMP,0.522,NonAMP,0.517,4.997,0.263,0.562,-0.121,0.487,1.108,52.63,-0.02,0,0.053,0.034,2.128,17.653,12.814,0.562,0.542,0.17,0.41,1.13,-0.88,0.29,0.51,-1.47,AMP-like,TRUE,Weak
P_A30K,15,AMP,0.634,AMP,0.6,NonAMP,0.636,NonAMP,0.579,2.998,0.1998,0.428,0.187,0.521,1.09,53.33,0.047,0.133,0.133,-0.13,1.288,17.147,12.516,0.428,0.511,0.043,-0.48,0.5,0.35,0.2,0.56,-1.02,AMP-like,TRUE,Weak
P_A30K,17,AMP,0.594,AMP,0.803,AMP,0.774,AMP,0.76,0.998,0.0587,0.624,0.188,0.521,0.958,47.06,0.094,0.059,0.294,-0.128,-0.016,10.847,9.537,0.624,0.489,-0.042,0.83,-0.91,0.35,-0.46,0.14,-0.71,AMP-like,TRUE,Weak
P_A30K,22,AMP,0.752,AMP,0.688,AMP,0.713,AMP,0.706,1.965,0.0893,0.592,0.245,0.527,0.927,45.45,0.061,0.136,0.182,-0.233,0.81,25.841,8.831,0.592,0.485,-0.061,0.61,-0.61,0.58,-0.62,0.03,-0.93,AMP-like,TRUE,Weak
P_A30K,29,AMP,0.584,AMP,0.83,AMP,0.554,AMP,0.596,3.874,0.1336,0.632,-0.314,0.465,1,37.93,-0.063,0,0.138,0.158,1.756,42.259,10.507,0.632,0.415,-0.345,0.88,-0.16,-1.66,-0.25,-0.47,-1.75,AMP-like,TRUE,Weak
P_A30K,16,AMP,0.653,AMP,0.603,AMP,0.76,AMP,0.713,3.996,0.2497,0.555,-1.181,0.369,0.848,43.75,-0.236,0.125,0.438,0.202,1.866,42.388,10.965,0.555,0.282,-0.932,0.37,1,-5.12,-1.01,-0.08,-2.91,AMP-like,TRUE,Weak
P_A30K,20,AMP,0.604,AMP,0.695,NonAMP,0.566,NonAMP,0.552,2.055,0.1028,0.222,-0.245,0.473,0.916,40,-0.049,0.05,0.25,0.109,0.661,80.045,8.828,0.222,0.253,-1.081,-1.85,-0.47,-1.38,-0.67,-0.33,-1.66,AMP-like,TRUE,Weak
P_A30K,20,AMP,0.653,AMP,0.688,AMP,0.508,AMP,0.512,2.055,0.1028,0.171,-0.245,0.473,0.916,40,-0.049,0.05,0.25,0.109,0.661,66.645,8.828,0.171,0.238,-1.166,-2.19,-0.47,-1.38,-0.67,-0.33,-1.66,AMP-like,TRUE,Weak
P_A30K,18,AMP,0.584,NonAMP,0.541,AMP,0.724,AMP,0.685,3.998,0.2221,0.746,-2.144,0.262,0.879,44.44,-0.429,0.111,0.333,0.236,4.472,87.867,12.508,0.746,0.207,-1.346,1.64,0.72,-8.98,-0.86,-0.04,-4.19,AMP-like,TRUE,Weak
P_A3K,8,AMP,0.594,AMP,0.605,AMP,0.665,AMP,0.65,-0.002,-3.00E-04,0.222,2.612,0.79,1.028,87.5,2.612,0,0.25,-0.654,-3.419,29.225,6.1,0.222,0.94,2.76,-1.85,-1.5,10.05,-0.11,2.83,16.08,Unlikely,TRUE,Strong
P_A3K,8,AMP,0.584,AMP,0.663,AMP,0.68,AMP,0.721,0.998,0.1247,0.534,1.575,0.675,1.029,75,0.787,0.125,0.125,-0.444,-1.598,-4.275,9.7,0.534,0.827,1.567,0.23,-0.25,5.9,-0.11,2,3.91,Unlikely,TRUE,Strong
P_A3K,16,AMP,0.683,AMP,0.661,NonAMP,0.752,NonAMP,0.656,1.998,0.1249,0.778,1.194,0.633,1.012,68.75,0.398,0.125,0.125,-0.344,0.176,36.194,12.5,0.778,0.804,1.41,1.85,-0.25,4.38,-0.19,1.58,1.32,Unlikely,TRUE,Strong
P_A3K,11,AMP,0.723,AMP,0.713,AMP,0.88,AMP,0.853,1.936,0.176,0.634,1.136,0.626,0.956,54.55,0.379,0,0.091,-0.254,0.131,16.264,9.833,0.634,0.739,1.041,0.89,0.26,4.15,-0.47,0.64,1.19,Unlikely,TRUE,Strong
P_A3K,18,AMP,0.614,AMP,0.566,NonAMP,0.541,AMP,0.526,1.998,0.111,0.909,0.6,0.567,0.981,55.56,0.2,0.111,0.167,-0.219,0.766,41.978,12.5,0.909,0.723,0.958,2.73,-0.39,2,-0.35,0.7,0,AMP-like,TRUE,Strong
P_A3K,12,AMP,0.644,AMP,0.748,AMP,0.638,AMP,0.669,0.998,0.0831,0.618,0.925,0.603,0.93,66.67,0.462,0.083,0.333,-0.458,-1.439,31.433,9.7,0.618,0.703,0.859,0.79,-0.67,3.3,-0.6,1.44,1.75,AMP-like,TRUE,Strong
P_A3K,17,AMP,0.634,AMP,0.601,AMP,0.557,AMP,0.586,1.998,0.1175,0.909,0.471,0.552,0.972,52.94,0.157,0.059,0.176,-0.132,0.986,43.859,12.5,0.909,0.697,0.831,2.73,-0.32,1.48,-0.39,0.53,-0.29,AMP-like,TRUE,Strong
P_A3K,8,AMP,0.624,AMP,0.666,AMP,0.755,AMP,0.749,0.998,0.1247,0.403,1.275,0.642,0.954,50,0.637,0.125,0.25,-0.506,-1.438,-23.087,9.7,0.403,0.682,0.762,-0.65,-0.25,4.7,-0.48,0.33,2.91,AMP-like,TRUE,Strong
P_A3K,13,AMP,0.634,AMP,0.841,AMP,0.864,AMP,0.877,0.998,0.0767,0.531,1.015,0.613,0.985,53.85,0.508,0,0.154,-0.341,-0.777,45.992,9.7,0.531,0.668,0.699,0.21,-0.73,3.66,-0.33,0.59,2.05,AMP-like,TRUE,Strong
P_A3K,17,AMP,0.881,AMP,0.597,AMP,0.898,AMP,0.837,2.09,0.1229,0.794,0.265,0.529,1.101,58.82,0.066,0.176,0.118,-0.114,0.631,34.429,10.789,0.794,0.651,0.622,1.96,-0.27,0.66,0.25,0.92,-0.89,AMP-like,TRUE,Strong
P_A3K,15,AMP,0.594,NonAMP,0.528,NonAMP,0.82,NonAMP,0.757,0.999,0.0666,0.667,0.607,0.567,1.113,53.33,0.303,0,0.067,0.096,0.726,9.333,9.695,0.667,0.649,0.615,1.11,-0.83,2.03,0.31,0.56,0.69,AMP-like,TRUE,Strong
P_A3K,17,AMP,0.634,AMP,0.689,NonAMP,0.699,NonAMP,0.634,1.088,0.064,0.441,0.918,0.602,1.151,64.71,0.306,0.059,0.059,-0.209,-0.822,7.718,9.301,0.441,0.637,0.564,-0.39,-0.86,3.27,0.5,1.31,0.71,AMP-like,TRUE,Moderate
P_A3K,17,AMP,0.624,NonAMP,0.68,AMP,0.539,AMP,0.586,2.999,0.1764,0.918,-0.094,0.49,1.01,52.94,-0.024,0.118,0.118,-0.05,2.091,52.724,11.431,0.918,0.63,0.533,2.79,0.26,-0.78,-0.2,0.53,-1.49,AMP-like,TRUE,Moderate
P_A3K,19,AMP,0.683,AMP,0.668,NonAMP,0.522,NonAMP,0.517,4.997,0.263,0.562,-0.121,0.487,1.108,52.63,-0.02,0,0.053,0.034,2.128,17.653,12.814,0.562,0.542,0.17,0.41,1.13,-0.88,0.29,0.51,-1.47,AMP-like,TRUE,Weak
P_A3K,20,AMP,0.693,AMP,0.837,AMP,0.939,AMP,0.932,2.997,0.1499,0.619,0.145,0.516,1.044,50,0.036,0.05,0.2,-0.063,0.081,24.31,11.103,0.619,0.54,0.161,0.79,0,0.18,-0.03,0.33,-1.09,AMP-like,TRUE,Weak
P_A3K,16,AMP,0.693,NonAMP,0.556,AMP,0.539,AMP,0.532,1.089,0.0681,0.707,0.162,0.518,1.011,43.75,0.054,0.062,0.188,0.005,0.914,-15.938,9.697,0.707,0.52,0.08,1.38,-0.82,0.25,-0.2,-0.08,-0.97,AMP-like,TRUE,Weak
P_A3K,14,AMP,0.624,AMP,0.615,AMP,0.521,AMP,0.529,1.088,0.0777,0.511,0.343,0.538,0.996,57.14,0.114,0.214,0.143,-0.391,0.069,27.743,9.351,0.511,0.511,0.043,0.07,-0.72,0.97,-0.27,0.81,-0.57,AMP-like,TRUE,Weak
